Key,Russian
,
# General / Miscellaneous {{{,
AL_LK_Buffs,Баффы
AL_LK_Logging,Рубка дерева
AL_LK_Mining,Горное дело
AL_LK_Digging,Раскопки
AL_LK_Construction,Строительство и ремонт
AL_LK_Salvage,Разбор на детали
AL_LK_Healing,Лечение
,
AL_LK_RemoveBracketed,[ffc070][Удалить][-]
,
AL_LK_AlcoholismName,Алкоголизм
AL_LK_AlcoholismDesc,Вы выпили слишком много. Но вам нужно больше.
,
AL_LK_EquipSlotLight,Свет
AL_LK_Survive,Выживать
AL_LK_Unlocked,Разблокировано
AL_LK_JournalEntries,Записи в журнале
AL_LK_Capacity,Ёмкость
AL_LK_HealthRegen,[ff8080]Регенерация здоровья[-]
,
lblCategoryPerkBooks,Книги умений
lblCategoryCraftingMagazines,Журналы по крафту
lblCategoryWriting,Письмо
,
AL_LK_StoneTools,Каменные инструменты
AL_LK_ScrapTools,Инструменты из лома
AL_LK_BronzeTools,[e6a372]Бронзовые инструменты[-]
AL_LK_IronTools,Железные инструменты
AL_LK_SteelTools,Стальные инструменты
,
AL_LK_ElectronicsT1,Электроника Урв 1
AL_LK_ElectronicsT2,Электроника Урв 2
AL_LK_ElectronicsT3,Электроника Урв 3
,
AL_LK_CanBePickedUp,[80ff80]Можно подобрать[-]
blockcommand_pickup,[408040]Подобрать[-]
,
AL_LK_ZInfectionIncrease0,[808080]Незначительное[-]
AL_LK_ZInfectionIncrease1,[ffc0c0]Малое[-]
AL_LK_ZInfectionIncrease2,[ff8080]Среднее[-]
AL_LK_ZInfectionIncrease3,[ff4040]Сильное[-]
AL_LK_ZInfectionIncrease4,[ff0000]Огромное[-]
AL_LK_ZInfectionIncrease5,[aa0000]Экстрим[-]
,
AL_LK_RainCatcher,Сборщик дождевой воды
AL_LK_EffectsColon,[ffc070]Эффекты:[-]
,
AL_LK_TurnedPenalty,[ff4040]Вы обратились.[-]
AL_LK_RemoveTools,В нём всё ещё есть инструменты.
AL_LK_QueueNotEmpty,Это пока ещё создаётся
AL_LK_FuelNotEmpty,В нём ещё есть топливо.
AL_LK_ContainerNotEmpty,Не пусто.
,
AL_LK_BasicApparel,Основная одежда
