Key,NoTranslate,English,Russian
,,,
# General / Miscellaneous {{{,,,
AL_LK_Buffs,,Buffs,Баффы
AL_LK_Logging,,Logging,Рубка дерева
AL_LK_Mining,,Mining,Горное дело
AL_LK_Digging,,Digging,Раскопки
AL_LK_Construction,,Construction & Repair,Строительство и ремонт
AL_LK_Salvage,,Salvage,Разбор на детали
AL_LK_Healing,,Healing,Лечение
,,,
AL_LK_RemoveBracketed,,[ffc070][Remove][-],[ffc070][Удалить][-]
,,,
AL_LK_AlcoholismName,,Alcoholism,Алкоголизм
AL_LK_AlcoholismDesc,,You've had too much.. But you need more.,Ты выпил слишком много... Но тебе нужно больше.
,,,
AL_LK_EquipSlotLight,,Light,Свет
AL_LK_Survive,,Survive,Выживать
AL_LK_Unlocked,,Unlocked,Разблокировано
AL_LK_JournalEntries,,Journal Entries,Записи в журнале
AL_LK_Capacity,,Capacity,Емкость
AL_LK_HealthRegen,,[ff8080]Health Regeneration[-],[ff8080]Восстановление здоровья[-]
,,,
lblCategoryPerkBooks,,Perk Books,Перк-книги
lblCategoryCraftingMagazines,,Crafting Magazines,Журналы по крафту
lblCategoryWriting,,Writing,Письмо
,,,
AL_LK_StoneTools,,Stone Tools,Каменные инструменты
AL_LK_ScrapTools,,Scrap Tools,Инструменты из лома
AL_LK_BronzeTools,,[e6a372]Bronze Tools[-],[e6a372]Бронзовые инструменты[-]
AL_LK_IronTools,,Iron Tools,Железные инструменты
AL_LK_SteelTools,,Steel Tools,Стальные инструменты
,,,
AL_LK_ElectronicsT1,,Electronics Tier 1,Электроника Урв 1
AL_LK_ElectronicsT2,,Electronics Tier 2,Электроника Урв 2
AL_LK_ElectronicsT3,,Electronics Tier 3,Электроника Урв 3
,,,
AL_LK_CanBePickedUp,,[80ff80]Can Be Picked Up[-],[80ff80]Можно подобрать[-]
blockcommand_pickup,,[408040]Pick Up[-],[408040]Подобрать[-]
,,,
AL_LK_ZInfectionIncrease0,,[808080]Negliglble[-],[808080]Незначительный[-]
AL_LK_ZInfectionIncrease1,,[ffc0c0]Small[-],[ffc0c0]Маленький[-]
